circuitId,name,country
1,Albert Park Grand Prix Circuit,Australia
2,Sepang International Circuit,Malaysia
3,Bahrain International Circuit,Bahrain
4,Circuit de Barcelona-Catalunya,Spain
5,Istanbul Park,Turkey
6,Circuit de Monaco,Monaco
7,Circuit Gilles Villeneuve,Canada
9,Silverstone Circuit,UK
10,Hockenheimring,Germany
11,Hungaroring,Hungary
13,Circuit de Spa-Francorchamps,Belgium
14,Autodromo Nazionale di Monza,Italy
15,Marina Bay Street Circuit,Singapore
17,Shanghai International Circuit,China
18,Autódromo José Carlos Pace,Brazil
20,Nürburgring,Germany
21,Autodromo Enzo e Dino Ferrari,Italy
22,Suzuka Circuit,Japan
80,Las Vegas Strip Street Circuit,United States
24,Yas Marina Circuit,UAE
32,Autódromo Hermanos Rodríguez,Mexico
34,Circuit Paul Ricard,France
39,Circuit Park Zandvoort,Netherlands
69,Circuit of the Americas,USA
70,Red Bull Ring,Austria
71,Sochi Autodrom,Russia
73,Baku City Circuit,Azerbaijan
75,Autódromo Internacional do Algarve,Portugal
76,Autodromo Internazionale del Mugello,Italy
77,Jeddah Corniche Circuit,Saudi Arabia
78,Losail International Circuit,Qatar
79,Miami International Autodrome,USA
