driverId,forename,surname,full_name
1,Lewis,Hamilton,Lewis Hamilton
3,Nico,Rosberg,Nico Rosberg
4,Fernando,Alonso,Fernando Alonso
8,Kimi,Räikkönen,Kimi Räikkönen
9,Robert,Kubica,Robert Kubica
13,Felipe,Massa,Felipe Massa
16,Adrian,Sutil,Adrian Sutil
18,Jenson,Button,Jenson Button
20,Sebastian,Vettel,Sebastian Vettel
154,Romain,Grosjean,Romain Grosjean
155,Kamui,Kobayashi,Kamui Kobayashi
842,Pierre,Gasly,Pierre Gasly
807,Nico,Hülkenberg,Nico Hülkenberg
813,Pastor,Maldonado,Pastor Maldonado
814,Paul,di Resta,Paul di Resta
815,Sergio,Pérez,Sergio Pérez
817,Daniel,Ricciardo,Daniel Ricciardo
818,Jean-Éric,Vergne,Jean-Éric Vergne
820,Max,Chilton,Max Chilton
821,Esteban,Gutiérrez,Esteban Gutiérrez
822,Valtteri,Bottas,Valtteri Bottas
824,Jules,Bianchi,Jules Bianchi
825,Kevin,Magnussen,Kevin Magnussen
826,Daniil,Kvyat,Daniil Kvyat
827,André,Lotterer,André Lotterer
828,Marcus,Ericsson,Marcus Ericsson
829,Will,Stevens,Will Stevens
830,Max,Verstappen,Max Verstappen
831,Felipe,Nasr,Felipe Nasr
832,Carlos,Sainz,Carlos Sainz
833,Roberto,Merhi,Roberto Merhi
834,Alexander,Rossi,Alexander Rossi
835,Jolyon,Palmer,Jolyon Palmer
836,Pascal,Wehrlein,Pascal Wehrlein
837,Rio,Haryanto,Rio Haryanto
838,Stoffel,Vandoorne,Stoffel Vandoorne
839,Esteban,Ocon,Esteban Ocon
840,Lance,Stroll,Lance Stroll
841,Antonio,Giovinazzi,Antonio Giovinazzi
843,Brendon,Hartley,Brendon Hartley
844,Charles,Leclerc,Charles Leclerc
845,Sergey,Sirotkin,Sergey Sirotkin
846,Lando,Norris,Lando Norris
847,George,Russell,George Russell
848,Alexander,Albon,Alexander Albon
849,Nicholas,Latifi,Nicholas Latifi
850,Pietro,Fittipaldi,Pietro Fittipaldi
851,Jack,Aitken,Jack Aitken
852,Yuki,Tsunoda,Yuki Tsunoda
853,Nikita,Mazepin,Nikita Mazepin
854,Mick,Schumacher,Mick Schumacher
855,Guanyu,Zhou,Guanyu Zhou
856,Nyck,de Vries,Nyck de Vries
857,Oscar,Piastri,Oscar Piastri
858,Logan,Sargeant,Logan Sargeant
859,Liam,Lawson,Liam Lawson
860,Oliver,Bearman,Oliver Bearman
861,Franco,Colapinto,Franco Colapinto
862,Jack,Doohan,Jack Doohan
